subj,rama,side,cond,fs,dur_s,snr_db,MDF,MNF,peakF,totpow,p_20_60,p_60_150,p_150_250,p_250_450,n_cycles,chew_rate,cv_ipi,med_dur,med_amp,med_area,duty,rms_amp,mdf_slope,mnf_slope
PS7,R1,R,PLA,1024.0,240.0,21.4,83.0,98.4915669912424,35.0,6.795361676224169e-09,2.265186535658018e-09,3.1858947597187546e-09,1.0786684004476537e-09,1.8025227369637948e-10,368,1.4691535150645625,0.21518751951443596,0.4072265625,7.753668716861309e-05,2.57065230367082e-05,0.6403116861979167,8.252809526551852e-05,-8.876164691818152,-6.167164160285652
PS8,R2,L,ANE,1024.0,240.0,18.86,85.0,102.75624177761347,54.0,9.924119610608787e-09,2.9265326755092242e-09,4.7816657983027e-09,1.7577444498000497e-09,3.3641252093229287e-10,377,1.72681281618887,0.3348050970735834,0.474609375,9.120000907967468e-05,3.0112944043137356e-05,0.7737141927083333,9.985858656831652e-05,-10.520305193206987,-11.27503900734732
PS8,R2,L,PLA,1024.0,240.0,19.12,86.0,102.63231247988728,37.0,1.0495328617418954e-08,3.0672545233837564e-09,5.095330922942401e-09,1.8552150935349315e-09,3.4765870566588803e-10,363,1.695364238410596,0.3243864458988509,0.4921875,8.846213034817496e-05,3.1711219740351005e-05,0.8101277669270833,0.00010290897868401626,-4.550578390351957,-5.125922716620744
PS8,R2,R,ANE,1024.0,240.0,19.7,82.0,98.01979277535915,71.0,1.206595923866275e-08,3.5615874487680298e-09,6.170790710986976e-09,1.8980199157432956e-09,2.846757936675778e-10,376,1.708090075062552,0.3304459643699288,0.48046875,0.0001074557837096885,3.256483611646473e-05,0.7694417317708333,0.00011049166297712652,-3.7294047326043405,-4.497748139631757
PS8,R2,R,PLA,1024.0,240.0,20.28,83.0,99.53352734598751,55.0,1.373924209302798e-08,4.127381007282849e-09,6.736751409335801e-09,2.325572705864314e-09,3.6566272459618257e-10,368,1.7123745819397993,0.3217042817903063,0.4765625,9.942337436124242e-05,3.5571684977800414e-05,0.7991048177083333,0.00011806670771680217,-3.9163179916317987,-3.0672078271572034
PS9,R1,L,ANE,1024.0,240.0,25.55,134.0,143.5888843556073,129.0,3.082214931510919e-09,4.0550803732036705e-10,1.3820252038674045e-09,9.570053286714864e-10,3.0191391935660624e-10,355,1.486211901306241,0.17699762667175695,0.50732421875,7.333361195860663e-05,1.7006244447629998e-05,0.7895345052083333,5.580012380815252e-05,-10.764283956260327,-9.527300476714586
PS9,R1,L,PLA,1024.0,240.0,25.42,126.0,136.8857963487561,93.0,3.0161776488612464e-09,4.825484989521231e-10,1.3819638711211146e-09,8.430321350142346e-10,2.7614123069938704e-10,380,1.5950155763239875,0.1486753494152472,0.4580078125,6.711033348590003e-05,1.556202062555209e-05,0.749169921875,5.4935241811643146e-05,-0.5868991948243734,-0.8512249391001472
PS9,R1,R,ANE,1024.0,240.0,22.07,134.0,146.5247478827747,122.0,1.751327358069132e-09,2.6600734976890267e-10,7.371058290468977e-10,5.081851611596925e-10,2.214204953570123e-10,357,1.490538573508006,0.176351600382506,0.4892578125,6.0001217776301655e-05,1.4858723189119079e-05,0.7722208658854167,4.199912333706298e-05,-6.475299743328292,-7.293027031320954
PS9,R1,R,PLA,1024.0,240.0,22.55,131.0,145.06287306699124,120.0,1.9616028423711618e-09,2.904574747245652e-10,8.573476636651315e-10,5.525558039300328e-10,2.4036512206246556e-10,376,1.5875968992248062,0.15843198525050448,0.478515625,5.605131171612104e-05,1.3692112688428373e-05,0.80308837890625,4.436757527678361e-05,-27.97137934671776,-26.145892812269203
PS10,R1,L,ANE,1024.0,240.0,24.23,94.0,108.34597737492113,70.0,1.333403149206072e-09,3.0602041092740074e-10,7.029017343340827e-10,2.7172829166349075e-10,3.747583986394183e-11,295,1.1415830546265329,0.2553902780913572,0.59375,3.348655997300339e-05,1.15681454558987e-05,0.7157552083333333,3.684028790288897e-05,1.007559509159312,-0.47585137002339034
PS10,R1,L,PLA,1024.0,240.0,22.41,83.0,100.32360316943348,44.0,8.853355703865945e-10,2.576075998256634e-10,4.4725839282116103e-10,1.4511490566500804e-10,2.3712164132607444e-11,325,1.2427184466019416,0.2692169619391348,0.5634765625,2.9688490276601795e-05,9.879208940910151e-06,0.74508056640625,2.9875438959457763e-05,7.251643753735802,6.061532218001188
PS10,R1,R,ANE,1024.0,240.0,23.41,81.0,96.6361235695276,65.0,1.5964969931099318e-09,4.450447995242609e-10,8.744617208409304e-10,2.2277966313618526e-10,3.342842688791496e-11,417,2.0277227722772277,0.3146603179958196,0.455078125,2.8555723960960977e-05,1.0263344306535817e-05,0.7952596028645833,4.031814390331933e-05,-7.559755282866284,-7.601604538889359
PS10,R1,R,PLA,1024.0,240.0,23.57,92.0,108.57905001514267,66.0,1.6725673292705392e-09,4.074305282841151e-10,8.525372807228511e-10,3.326486477669106e-10,5.989308891141904e-11,427,2.104830421377184,0.32103940986362234,0.43310546875,3.141896979042718e-05,1.1096032939199159e-05,0.7765543619791667,4.106928708832171e-05,-10.140360746809185,-10.7465000713602
