subj,sel_side,cond,bout,amp_L,amp_R,mamp_L,mamp_R,asym
S5,R,ANE,2,36.399390521364154,103.97610085040368,64.37506259399787,202.85799288498444,-0.48139963514051143
S5,R,ANE,3,31.570511167744062,89.37541374844274,27.700878439579196,155.16739732912305,-0.47794005974782444
S5,R,ANE,4,37.26933146369676,102.43140947777027,58.02678363792586,255.6287361502879,-0.46644046105220877
S5,R,PLA,1,32.785184432089835,91.84080386057362,36.59887116833407,140.14179782098918,-0.4738627972987543
S5,R,PLA,2,34.3819827123257,94.1481650543085,49.032015963958756,209.12747784106844,-0.46499738295249476
S5,R,PLA,3,39.51058518842806,107.05152779908961,53.21356312072327,197.64096348693607,-0.46083494044885515
S5,R,PLA,4,29.201439958004546,85.70045355550101,38.16546158738192,135.44368207563824,-0.49171525263728655
M4,R,ANE,1,24.868994524001003,73.87618167385904,27.227977128192734,144.18825571289238,-0.496299556462988
M4,R,ANE,2,23.501828559420716,76.43119991738477,22.722648305381938,165.40760594649106,-0.5296484271989061
M4,R,ANE,3,20.050147685369453,73.59776473576207,19.441504742041126,133.9087016909221,-0.5717972314170786
M4,R,ANE,4,20.73331400743147,71.12343188773224,22.262608416156944,122.42403561676107,-0.5485728608088355
M4,R,PLA,1,22.68076967809205,70.15695944785946,25.81409039466584,94.93052910289832,-0.5113889602508124
M4,R,PLA,2,21.199191334678293,68.64409832715762,20.22184602686855,109.61058884926213,-0.5280851488303494
M4,R,PLA,3,19.038292243332275,75.10364285244495,14.459327461092766,117.2505876698372,-0.5955406647640379
M4,R,PLA,4,20.394679979266648,61.601910907552885,19.508030203634938,70.10888141641713,-0.5025480996540986
S10,R,ANE,1,44.14100736156148,67.4857778201006,85.11144846743508,140.39836915878647,-0.20913233701523784
S10,R,ANE,2,45.31576735057148,71.49515597736456,72.46891433502822,175.97985112862096,-0.224117641406674
S10,R,ANE,3,48.42555576370137,69.39654986560623,97.49371790845215,156.70562851511065,-0.17798862097986703
S10,R,ANE,4,48.47585209733861,65.9929063134589,104.49731314145244,112.20869115457309,-0.15302912741707356
S10,R,PLA,1,28.69075082589079,63.33766832960243,55.26706065189564,90.2753348214187,-0.37648063306586926
S10,R,PLA,2,26.791449644330903,58.02734038541501,48.79425394341849,125.03451934483114,-0.3682661675570864
S10,R,PLA,3,33.12034984170757,67.06355468964689,63.0605158369955,142.59353951295017,-0.33880896344298306
S10,R,PLA,4,53.654040583234696,67.5190385344742,122.19149565936075,157.94743331828593,-0.1144230884631625
PS1,R,ANE,1,97.04071879644098,95.5314789913973,289.96058908815155,276.56768084784505,0.007837267385328653
PS1,R,ANE,2,93.65976196949148,95.839132219982,246.51747373412172,209.46690166916395,-0.011500701678561943
PS1,R,ANE,3,108.13279734948622,110.09609286767096,256.2442424850248,289.66964242019026,-0.008996496826020944
PS1,R,ANE,4,112.04267896586228,111.8394922459031,253.98328522275563,228.53317371197147,0.0009075609677154076
PS1,R,PLA,1,102.01795247094525,94.33826436655573,207.15993818637995,187.65907516345138,0.03911100054827891
PS1,R,PLA,2,98.57560230300142,99.36300498928514,302.58407567866516,268.6840545699683,-0.003978014683719597
PS1,R,PLA,3,88.84456317625407,98.67479598999441,278.30075137591297,309.7932181149924,-0.052422495775623495
PS1,R,PLA,4,98.33472472293128,101.74630327884603,242.60442963840003,247.73748481986908,-0.017050984743463143
PS2,R,ANE,1,61.80411950717123,89.08686202645183,102.04877994680429,236.07103387514425,-0.1808109553134625
PS2,R,ANE,2,65.39267308461768,85.53562546558913,111.72058626767938,152.3788825555729,-0.13346040851491275
PS2,R,ANE,3,84.78601141493014,106.31515185871073,119.65176133318597,217.82533798010704,-0.11265834323024267
